For function function call:  android.webkit.WebViewFactory.CHROMIUM_WEBVIEW_FACTORY value:  chromium.WebViewChromiumFactoryProvider
function call:  chromium.ContentSettingsAdapter.TAG value:  ContentSettingsAdapter
function call:  chromium.ContentSettingsAdapter.getAllowContentAccess() value:  true
function call:  chromium.ContentSettingsAdapter.getAllowFileAccess() value:  true
function call:  chromium.ContentSettingsAdapter.getAllowFileAccessFromFileURLs() value:  false
function call:  chromium.ContentSettingsAdapter.getAllowUniversalAccessFromFileURLs() value:  false
function call:  chromium.ContentSettingsAdapter.getBlockNetworkImage() value:  false
function call:  chromium.ContentSettingsAdapter.getBlockNetworkLoads() value:  false
function call:  chromium.ContentSettingsAdapter.getBuiltInZoomControls() value:  false
function call:  chromium.ContentSettingsAdapter.getCacheMode() value:  -1
function call:  chromium.ContentSettingsAdapter.getCursiveFontFamily() value:  cursive
function call:  chromium.ContentSettingsAdapter.getDatabaseEnabled() value:  false
function call:  chromium.ContentSettingsAdapter.getDatabasePath() value:  
function call:  chromium.ContentSettingsAdapter.getDefaultFixedFontSize() value:  13
function call:  chromium.ContentSettingsAdapter.getDefaultFontSize() value:  16
function call:  chromium.ContentSettingsAdapter.getDefaultTextEncodingName() value:  Latin-1
function call:  chromium.ContentSettingsAdapter.getDisplayZoomControls() value:  true
function call:  chromium.ContentSettingsAdapter.getDomStorageEnabled() value:  false
function call:  chromium.ContentSettingsAdapter.getFantasyFontFamily() value:  fantasy
function call:  chromium.ContentSettingsAdapter.getFixedFontFamily() value:  monospace
function call:  chromium.ContentSettingsAdapter.getJavaScriptCanOpenWindowsAutomatically() value:  false
function call:  chromium.ContentSettingsAdapter.getJavaScriptEnabled() value:  false
function call:  chromium.ContentSettingsAdapter.getLightTouchEnabled() value:  false
function call:  chromium.ContentSettingsAdapter.getLoadWithOverviewMode() value:  false
function call:  chromium.ContentSettingsAdapter.getLoadsImagesAutomatically() value:  true
function call:  chromium.ContentSettingsAdapter.getMediaPlaybackRequiresUserGesture() value:  true
function call:  chromium.ContentSettingsAdapter.getMinimumFontSize() value:  8
function call:  chromium.ContentSettingsAdapter.getMinimumLogicalFontSize() value:  8
function call:  chromium.ContentSettingsAdapter.getNavDump() value:  false
function call:  chromium.ContentSettingsAdapter.getPluginsEnabled() value:  false
function call:  chromium.ContentSettingsAdapter.getSansSerifFontFamily() value:  sans-serif
function call:  chromium.ContentSettingsAdapter.getSaveFormData() value:  true
function call:  chromium.ContentSettingsAdapter.getSavePassword() value:  false
function call:  chromium.ContentSettingsAdapter.getSerifFontFamily() value:  serif
function call:  chromium.ContentSettingsAdapter.getStandardFontFamily() value:  sans-serif
function call:  chromium.ContentSettingsAdapter.getTextZoom() value:  100
function call:  chromium.ContentSettingsAdapter.getUseWebViewBackgroundForOverscrollBackground() value:  false
function call:  chromium.ContentSettingsAdapter.getUseWideViewPort() value:  false
function call:  chromium.ContentSettingsAdapter.getUserAgent() value:  0
function call:  chromium.ContentSettingsAdapter.getUserAgentString() value:  Mozilla/5.0 (Linux; Android 4.4; google_sdk Build/KRT16L) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36
function call:  chromium.WebViewChromium.$assertionsDisabled value:  true
function call:  chromium.WebViewChromium.TAG value:  WebViewChromium
function call:  chromium.WebViewChromium.getContentHeight() value:  0
function call:  chromium.WebViewChromium.getContentWidth() value:  0
function call:  chromium.WebViewChromium.getOriginalUrl() value:  null
function call:  chromium.WebViewChromium.getProgress() value:  100
function call:  chromium.WebViewChromium.getScale() value:  1.3312501
function call:  chromium.WebViewChromium.getTitle() value:  
function call:  chromium.WebViewChromium.getTouchIconUrl() value:  null
function call:  chromium.WebViewChromium.getUrl() value:  null
function call:  chromium.WebViewChromium.getVisibleTitleHeight() value:  0
function call:  chromium.WebViewChromium.isPaused() value:  false
function call:  chromium.WebViewChromium.isPrivateBrowsingEnabled() value:  false
function call:  chromium.WebViewChromiumFactoryProvider.$assertionsDisabled value:  true
